Dataset,MinSup,Algorithm,AvgTime_ms,AvgRAM_MB,Itemsets,Candidates,Speedup
chess.dat,0.95,Baseline Apriori,284.7993,0.0352,78,162,1
chess.dat,0.95,TidList Apriori,190.9827,5.4583,78,326,1.49
chess.dat,0.95,Parallel Apriori,84.3281,0,78,162,3.38
chess.dat,0.95,FP-Growth (Liu 2025),63.979,0,78,0,4.45
chess.dat,0.9,Baseline Apriori,2137.7708,0,628,754,1
chess.dat,0.9,TidList Apriori,1975.6263,22.3633,628,4121,1.08
chess.dat,0.9,Parallel Apriori,360.4911,0,628,754,5.93
chess.dat,0.9,FP-Growth (Liu 2025),718.5788,0,628,0,2.97
chess.dat,0.85,Baseline Apriori,19456.0818,0,2690,2913,1
chess.dat,0.85,TidList Apriori,23815.4809,71.5443,2690,26705,0.82
chess.dat,0.85,Parallel Apriori,7904.6966,0,2690,2913,2.46
chess.dat,0.85,FP-Growth (Liu 2025),3040.1992,0,2690,0,6.4
connect.dat,0.99,Baseline Apriori,5940.0981,0,29,171,1
connect.dat,0.99,TidList Apriori,4114.0914,9.8659,29,202,1.44
connect.dat,0.99,Parallel Apriori,870.3951,0,29,171,6.82
connect.dat,0.99,FP-Growth (Liu 2025),712.8583,0,29,0,8.33
connect.dat,0.98,Baseline Apriori,13832.0578,0,180,330,1
connect.dat,0.98,TidList Apriori,4671.3663,136.4714,180,909,2.96
connect.dat,0.98,Parallel Apriori,796.5057,0,180,330,17.37
connect.dat,0.98,FP-Growth (Liu 2025),1485.7994,0,180,0,9.31
connect.dat,0.97,Baseline Apriori,18141.5235,0,487,651,1
connect.dat,0.97,TidList Apriori,16130.3711,240.4453,487,3344,1.12
connect.dat,0.97,Parallel Apriori,1960.6157,0,487,651,9.25
connect.dat,0.97,FP-Growth (Liu 2025),4404.7124,0,487,0,4.12
accidents.dat,0.95,Baseline Apriori,5172.9112,0,15,479,1
accidents.dat,0.95,TidList Apriori,7522.2032,0,15,492,0.69
accidents.dat,0.95,Parallel Apriori,1438.8461,0,15,479,3.6
accidents.dat,0.95,FP-Growth (Liu 2025),1080.4061,0,15,0,4.79
accidents.dat,0.9,Baseline Apriori,8737.17,0,31,494,1
accidents.dat,0.9,TidList Apriori,8085.7633,0,31,548,0.93
accidents.dat,0.9,Parallel Apriori,1359.79,0,31,494,6.43
accidents.dat,0.9,FP-Growth (Liu 2025),1786.81,0,31,0,4.89
accidents.dat,0.85,Baseline Apriori,10848.7179,0,71,538,1
accidents.dat,0.85,TidList Apriori,12552.7458,87.9909,71,685,0.86
accidents.dat,0.85,Parallel Apriori,1724.1592,0,71,538,6.29
accidents.dat,0.85,FP-Growth (Liu 2025),3241.684,0,71,0,3.35
